bcr_sample_barcode	bcr_aliquot_barcode	amount	biospecimen_barcode_bottom	concentration	day_of_shipment	month_of_shipment	plate_column	plate_row	year_of_shipment
TCGA-12-0776-10A	TCGA-12-0776-10A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	9	F	2008
TCGA-12-0776-10A	TCGA-12-0776-10A-01D-0335-06	11.8 uL	null	0.169 ug/uL	7	5	8	B	2008
TCGA-12-0776-10A	TCGA-12-0776-10A-01D-0333-01	5.9 uL	null	0.169 ug/uL	7	5	8	B	2008
TCGA-12-0776-10A	TCGA-12-0776-10A-01D-0336-02	17.6 uL	null	0.169 ug/uL	7	5	8	B	2008
TCGA-12-0776-10A	TCGA-12-0776-10A-01D-0334-04	23.5 uL	null	0.169 ug/uL	9	5	8	B	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01D-0336-02	17.6 uL	null	0.17 ug/uL	7	5	4	E	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01D-1003-01	3.33 uL	null	0.17 ug/uL	20	5	10	D	2010
TCGA-12-0778-01A	TCGA-12-0778-01A-01D-0335-06	11.8 uL	null	0.17 ug/uL	7	5	4	E	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01D-0337-05	11.8 uL	null	0.17 ug/uL	7	5	4	E	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01D-0333-01	5.9 uL	null	0.17 ug/uL	7	5	4	E	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01D-0334-04	23.5 uL	null	0.17 ug/uL	9	5	4	E	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01T-0341-07	10 uL	null	0.100 ug/uL	7	5	4	B	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01R-0340-07	11.8 uL	null	0.185 ug/uL	8	5	4	C	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01R-0338-01	17.6 uL	null	0.185 ug/uL	8	5	4	C	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01R-0339-03	14.7 uL	null	0.185 ug/uL	9	5	4	C	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01R-0677-04	4 uL	null	0.185 ug/uL	29	10	9	D	2009
TCGA-12-0778-01A	TCGA-12-0778-01A-01W-0409-08	10 uL	null	.5 ug/uL	20	11	4	C	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01W-0411-09	10 uL	null	.5 ug/uL	19	11	4	C	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	5	E	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01W-0410-10	10 uL	null	.5 ug/uL	20	11	4	C	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	5	E	2008
TCGA-12-0778-01A	TCGA-12-0778-01A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	5	E	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01W-0410-10	10 uL	null	.5 ug/uL	20	11	7	F	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	9	G	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01W-0411-09	10 uL	null	.5 ug/uL	19	11	7	F	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01W-0409-08	10 uL	null	.5 ug/uL	20	11	7	F	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	9	G	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	9	G	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01D-1003-01	3.33 uL	null	0.181 ug/uL	20	5	10	E	2010
TCGA-12-0778-10A	TCGA-12-0778-10A-01D-0335-06	11.8 uL	null	0.181 ug/uL	7	5	8	C	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01D-0334-04	23.5 uL	null	0.181 ug/uL	9	5	8	C	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01D-0336-02	17.6 uL	null	0.181 ug/uL	7	5	8	C	2008
TCGA-12-0778-10A	TCGA-12-0778-10A-01D-0333-01	5.9 uL	null	0.181 ug/uL	7	5	8	C	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01R-0677-04	4 uL	null	0.174 ug/uL	29	10	7	G	2009
TCGA-12-0780-01A	TCGA-12-0780-01A-01R-0437-07	6.67 uL	null	0.174 ug/uL	28	1	2	A	2009
TCGA-12-0780-01A	TCGA-12-0780-01A-01R-0340-07	11.8 uL	null	0.174 ug/uL	8	5	4	D	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01R-0338-01	17.6 uL	null	0.174 ug/uL	8	5	4	D	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01R-0339-03	14.7 uL	null	0.174 ug/uL	9	5	4	D	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01T-0341-07	10 uL	null	0.100 ug/uL	7	5	4	C	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	5	F	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	5	F	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	5	F	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01D-0335-06	11.8 uL	null	0.19 ug/uL	7	5	4	F	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01D-0336-02	17.6 uL	null	0.19 ug/uL	7	5	4	F	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01D-0334-04	23.5 uL	null	0.19 ug/uL	9	5	4	F	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01D-0433-07	6.67 uL	null	0.19 ug/uL	28	1	3	A	2009
TCGA-12-0780-01A	TCGA-12-0780-01A-01D-0337-05	11.8 uL	null	0.19 ug/uL	7	5	4	F	2008
TCGA-12-0780-01A	TCGA-12-0780-01A-01D-0333-01	5.9 uL	null	0.19 ug/uL	7	5	4	F	2008
TCGA-12-0780-10A	TCGA-12-0780-10A-01W-0349-09	400 uL	null	.5 ug/uL	29	5	10	A	2008
TCGA-12-0780-10A	TCGA-12-0780-10A-01W-0348-08	400 uL	null	.5 ug/uL	28	5	10	A	2008
TCGA-12-0780-10A	TCGA-12-0780-10A-01W-0347-10	400 uL	null	.5 ug/uL	29	5	10	A	2008
TCGA-12-0780-10A	TCGA-12-0780-10A-01D-0336-02	5.4 uL	null	0.148 ug/uL	7	5	8	D	2008
TCGA-12-0780-10A	TCGA-12-0780-10A-01D-0334-04	17.6 uL	null	0.148 ug/uL	9	5	8	D	2008
TCGA-12-0780-10A	TCGA-12-0780-10A-01D-0335-06	11.8 uL	null	0.148 ug/uL	7	5	8	D	2008
TCGA-12-0780-10A	TCGA-12-0780-10A-01D-0333-01	5.9 uL	null	0.148 ug/uL	7	5	8	D	2008
TCGA-12-0818-01A	TCGA-12-0818-01A-01R-0389-01	20 uL	null	0.178 ug/uL	18	9	1	F	2008
TCGA-12-0818-01A	TCGA-12-0818-01A-01R-0390-03	16.7 uL	null	0.178 ug/uL	18	9	1	F	2008
